Date: 25/08/2026 11:48:36
ATO app - myDeductions

Trips
Uploaded,Type,Status,Date,Vehicle,Purpose of trip,Start odometer*,End odometer*,Start location#,End location#,Trip details,Trip distance*,Record multiple trips*,Record the return journey*,Total Km,Logbook trip
Not uploaded,Employee,Completed,01/09/2025,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,07/09/2025,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,08/09/2025,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,14/09/2025,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,15/09/2025,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,21/09/2025,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,22/09/2025,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,28/09/2025,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,29/09/2025,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,05/10/2025,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,06/10/2025,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,12/10/2025,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,13/10/2025,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,19/10/2025,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,20/10/2025,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,26/10/2025,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,27/10/2025,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,02/11/2025,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,03/11/2025,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,09/11/2025,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,10/11/2025,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,16/11/2025,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,17/11/2025,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,23/11/2025,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,24/11/2025,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,30/11/2025,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,01/12/2025,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,07/12/2025,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,08/12/2025,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,14/12/2025,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,05/01/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,11/01/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,12/01/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,18/01/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,19/01/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,25/01/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,27/01/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,01/02/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,02/02/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,08/02/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,09/02/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,15/02/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,16/02/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,22/02/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,23/02/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,01/03/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,02/03/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,08/03/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,09/03/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,15/03/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,16/03/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,22/03/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,23/03/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,29/03/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,30/03/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,05/04/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,06/04/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,12/04/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,13/04/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,19/04/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,20/04/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,26/04/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,27/04/2026,EYO19Q,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,03/05/2026,FYN93N,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,04/05/2026,FYN93N,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,10/05/2026,FYN93N,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,11/05/2026,FYN93N,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,2,Yes,154.44,N,
Not uploaded,Employee,Completed,17/05/2026,FYN93N,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,18/05/2026,FYN93N,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,24/05/2026,FYN93N,Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,25/05/2026,Fyn93n(2),Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,2,Yes,154.44,N,
Not uploaded,Employee,Completed,30/05/2026,Fyn93n(2),Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,01/06/2026,Fyn93n(2),Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,2,Yes,154.44,N,
Not uploaded,Employee,Completed,07/06/2026,Fyn93n(2),Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,08/06/2026,Fyn93n(2),Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,14/06/2026,Fyn93n(2),Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,21/06/2026,Fyn93n(2),Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,3,Yes,231.66,N,
Not uploaded,Employee,Completed,19/07/2026,Fyn93n(2),Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,2,Yes,154.44,N,
Not uploaded,Employee,Completed,22/06/2026,Fyn93n(2),Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,2,Yes,154.44,N,
Not uploaded,Employee,Completed,23/06/2026,Fyn93n(2),Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ meeting ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,28/06/2026,Fyn93n(2),Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,29/06/2026,Fyn93n(2),Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,01/07/2026,Fyn93n(2),Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ meeting ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,05/07/2026,Fyn93n(2),Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,06/07/2026,Fyn93n(2),Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,09/07/2026,Fyn93n(2),Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ meeting ",38.61,2,Yes,154.44,N,
Not uploaded,Employee,Completed,12/07/2026,Fyn93n(2),Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,13/07/2026,Fyn93n(2),Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,14/07/2026,Fyn93n(2),Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ pick up",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,12/07/2026,Fyn93n(2),Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,13/07/2026,Fyn93n(2),Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,14/07/2026,Fyn93n(2),Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Five Senses Education Prospect Highway Seven Hills NSW Australia","Buying books ",30.79,1,Yes,61.58,N,
Not uploaded,Employee,Completed,16/07/2026,Fyn93n(2),Employee - work,,,"Edu-Kingdom College High Street Penrith NSW Australia","Edu-Kingdom College Sorrell Street Parramatta NSW Australia","Regular Visit to HQ meeting ",38.61,1,Yes,77.22,N,
Not uploaded,Employee,Completed,20/08/2026,Fyn93n(2),Employee - work,,,"Edu-Kingdom College - Penrith High Street Penrith NSW Australia","IKEA Marsden Park Hollinsworth Road Marsden Park NSW Australia","Purchase Office furniture",18.96,2,Yes,75.84,N,
Not uploaded,Employee,Completed,16/08/2026,Fyn93n(2),Employee - work,,,"Edu-Kingdom College Parramatta Sorrell Street Parramatta NSW Australia","IKEA Marsden Park Hollinsworth Road Marsden Park NSW Australia","To purchase office furniture accessories ",22.62,1,Yes,45.24,N,
Not uploaded,Employee,Completed,19/08/2026,Fyn93n(2),Employee - work,,,"Edu-Kingdom College - Penrith High Street Penrith NSW Australia","IKEA Marsden Park Hollinsworth Road Marsden Park NSW Australia","To purchase office furniture accessories ",18.96,1,Yes,37.92,N,
Not uploaded,Employee,Completed,17/08/2026,Fyn93n(2),Employee - work,,,"Edu-Kingdom College - Penrith High Street Penrith NSW Australia","KMALL09 LIDCOMBE Shopping Centre Parramatta Road Lidcombe NSW Australia","To purchase office supplies ",39.40,1,Yes,78.8,N,

Logbooks
Uploaded,Vehicle,Start date,End date,Starting odometer,Ending odometer,"Employee - work use %*","Employee - self education use %*",Start of year odometer reading*,End of year odometer reading,Purchase date*,Odometer reading on purchase*
Not uploaded,FYN93N,30/04/2026,,120.00,,0%,0%,,,20/04/2026,120,

Vehicles
Registration,Description,Ownership,Vehicle type
EYO19Q,"Ssangyong musso Xavier Ute trade-in 30/04/2026",I own lease or hire-purchase,Carrying capacity over 1 tonne,
FYN93N,"BYD Shark 6 PHEV UTE",I own lease or hire-purchase,Carrying capacity over 1 tonne,
Fyn93n(2),"Byd shark6",I own lease or hire-purchase,Carrying capacity over 1 tonne,

"* If applicable to expense or trip type."
